ply,piece_type,average_mobility
1,B,0.0
1,N,2.0
1,P,2.0
1,Q,0.0
1,R,0.0
1,b,0.0
1,n,2.0
1,p,2.0
1,q,0.0
1,r,0.0
2,B,1.82
2,N,2.67
2,P,1.85
2,Q,2.59
2,R,0.1
2,b,0.0
2,n,2.0
2,p,2.0
2,q,0.0
2,r,0.0
3,B,1.82
3,N,2.67
3,P,1.84
3,Q,2.59
3,R,0.1
3,b,0.66
3,n,2.59
3,p,1.83
3,q,1.88
3,r,0.16
4,B,2.33
4,N,3.25
4,P,1.67
4,Q,2.31
4,R,0.35
4,b,0.66
4,n,2.59
4,p,1.83
4,q,1.91
4,r,0.16
5,B,2.33
5,N,3.25
5,P,1.68
5,Q,2.32
5,R,0.35
5,b,1.6
5,n,3.03
5,p,1.72
5,q,2.98
5,r,0.33
6,B,3.22
6,N,3.65
6,P,1.61
6,Q,3.07
6,R,0.56
6,b,1.58
6,n,3.02
6,p,1.73
6,q,3.0
6,r,0.33
7,B,3.2
7,N,3.73
7,P,1.6
7,Q,3.27
7,R,0.56
7,b,2.17
7,n,3.24
7,p,1.66
7,q,3.68
7,r,0.46
8,B,3.48
8,N,4.01
8,P,1.59
8,Q,4.18
8,R,0.66
8,b,2.16
8,n,3.27
8,p,1.67
8,q,3.71
8,r,0.46
9,B,3.4
9,N,3.99
9,P,1.57
9,Q,4.16
9,R,0.66
9,b,2.6
9,n,3.69
9,p,1.59
9,q,4.41
9,r,0.64
10,B,3.65
10,N,4.26
10,P,1.51
10,Q,5.1
10,R,0.86
10,b,2.57
10,n,3.67
10,p,1.58
10,q,4.33
10,r,0.63
11,B,3.63
11,N,4.21
11,P,1.5
11,Q,5.06
11,R,0.84
11,b,3.1
11,n,3.94
11,p,1.53
11,q,5.03
11,r,0.76
12,B,4.0
12,N,4.36
12,P,1.45
12,Q,6.0
12,R,1.02
12,b,2.99
12,n,3.76
12,p,1.47
12,q,4.84
12,r,0.74
13,B,3.9
13,N,4.17
13,P,1.42
13,Q,5.86
13,R,1.01
13,b,3.23
13,n,4.1
13,p,1.46
13,q,5.57
13,r,0.93
14,B,4.23
14,N,4.45
14,P,1.4
14,Q,6.45
14,R,1.23
14,b,3.18
14,n,3.99
14,p,1.43
14,q,5.37
14,r,0.93
15,B,4.12
15,N,4.37
15,P,1.39
15,Q,6.29
15,R,1.2
15,b,3.47
15,n,4.3
15,p,1.42
15,q,6.21
15,r,1.07
16,B,4.5
16,N,4.58
16,P,1.39
16,Q,6.64
16,R,1.41
16,b,3.36
16,n,4.2
16,p,1.38
16,q,6.06
16,r,1.04
17,B,4.39
17,N,4.52
17,P,1.38
17,Q,6.6
17,R,1.4
17,b,3.64
17,n,4.51
17,p,1.38
17,q,6.62
17,r,1.28
18,B,4.61
18,N,4.74
18,P,1.36
18,Q,7.12
18,R,1.59
18,b,3.56
18,n,4.4
18,p,1.34
18,q,6.51
18,r,1.25
19,B,4.53
19,N,4.65
19,P,1.34
19,Q,6.91
19,R,1.56
19,b,3.83
19,n,4.62
19,p,1.34
19,q,7.04
19,r,1.46
20,B,4.74
20,N,4.77
20,P,1.34
20,Q,7.37
20,R,1.87
20,b,3.71
20,n,4.45
20,p,1.3
20,q,6.88
20,r,1.42
21,B,4.67
21,N,4.67
21,P,1.31
21,Q,7.35
21,R,1.85
21,b,3.97
21,n,4.82
21,p,1.32
21,q,7.46
21,r,1.7
22,B,4.86
22,N,4.82
22,P,1.31
22,Q,7.86
22,R,2.25
22,b,3.88
22,n,4.68
22,p,1.28
22,q,7.28
22,r,1.68
23,B,4.66
23,N,4.7
23,P,1.27
23,Q,7.52
23,R,2.18
23,b,4.11
23,n,4.92
23,p,1.3
23,q,8.02
23,r,2.0
24,B,4.96
24,N,4.91
24,P,1.28
24,Q,8.05
24,R,2.56
24,b,3.98
24,n,4.79
24,p,1.26
24,q,7.79
24,r,1.95
25,B,4.73
25,N,4.72
25,P,1.23
25,Q,7.75
25,R,2.49
25,b,4.28
25,n,5.02
25,p,1.29
25,q,8.39
25,r,2.28
26,B,5.07
26,N,4.98
26,P,1.28
26,Q,8.54
26,R,2.95
26,b,4.15
26,n,4.86
26,p,1.24
26,q,8.02
26,r,2.23
27,B,4.91
27,N,4.79
27,P,1.24
27,Q,8.22
27,R,2.9
27,b,4.51
27,n,5.03
27,p,1.27
27,q,8.41
27,r,2.74
28,B,5.08
28,N,5.09
28,P,1.26
28,Q,8.85
28,R,3.34
28,b,4.34
28,n,4.92
28,p,1.23
28,q,8.25
28,r,2.7
29,B,4.99
29,N,4.94
29,P,1.23
29,Q,8.76
29,R,3.32
29,b,4.64
29,n,5.1
29,p,1.26
29,q,8.72
29,r,3.12
30,B,5.23
30,N,5.12
30,P,1.25
30,Q,9.26
30,R,3.75
30,b,4.39
30,n,4.9
30,p,1.2
30,q,8.34
30,r,3.0
31,B,5.1
31,N,4.95
31,P,1.21
31,Q,8.99
31,R,3.68
31,b,4.75
31,n,5.19
31,p,1.24
31,q,9.1
31,r,3.37
32,B,5.4
32,N,5.22
32,P,1.24
32,Q,9.65
32,R,4.1
32,b,4.58
32,n,5.0
32,p,1.2
32,q,8.73
32,r,3.3
33,B,5.29
33,N,5.03
33,P,1.22
33,Q,9.46
33,R,4.01
33,b,4.91
33,n,5.21
33,p,1.22
33,q,9.55
33,r,3.85
34,B,5.61
34,N,5.31
34,P,1.24
34,Q,10.2
34,R,4.4
34,b,4.79
34,n,5.04
34,p,1.19
34,q,9.32
34,r,3.79
35,B,5.39
35,N,5.15
35,P,1.2
35,Q,9.83
35,R,4.32
35,b,5.06
35,n,5.22
35,p,1.21
35,q,10.11
35,r,4.19
36,B,5.72
36,N,5.35
36,P,1.23
36,Q,10.59
36,R,4.79
36,b,4.81
36,n,5.01
36,p,1.14
36,q,9.58
36,r,3.97
37,B,5.51
37,N,5.16
37,P,1.2
37,Q,10.28
37,R,4.68
37,b,5.11
37,n,5.17
37,p,1.19
37,q,10.66
37,r,4.55
38,B,5.73
38,N,5.29
38,P,1.23
38,Q,11.21
38,R,5.18
38,b,4.85
38,n,4.93
38,p,1.12
38,q,9.99
38,r,4.23
39,B,5.48
39,N,5.14
39,P,1.17
39,Q,10.83
39,R,4.93
39,b,5.22
39,n,5.22
39,p,1.18
39,q,10.85
39,r,4.88
40,B,5.79
40,N,5.39
40,P,1.22
40,Q,11.17
40,R,5.5
40,b,5.0
40,n,4.97
40,p,1.14
40,q,10.18
40,r,4.71
41,B,5.53
41,N,5.15
41,P,1.17
41,Q,10.63
41,R,5.22
41,b,5.29
41,n,5.34
41,p,1.18
41,q,11.1
41,r,5.26
42,B,5.69
42,N,5.54
42,P,1.22
42,Q,11.37
42,R,5.84
42,b,5.0
42,n,4.94
42,p,1.11
42,q,10.55
42,r,4.91
43,B,5.45
43,N,5.25
43,P,1.16
43,Q,11.0
43,R,5.59
43,b,5.49
43,n,5.32
43,p,1.17
43,q,11.45
43,r,5.55
44,B,5.68
44,N,5.57
44,P,1.19
44,Q,11.54
