ply,piece_type,average_value
1,B,623.5
1,N,547.0
1,P,148.5
1,Q,684.0
1,R,548.0
1,b,600.5
1,n,566.0
1,p,143.25
1,q,589.0
1,r,533.0
2,B,592.14
2,N,540.22
2,P,144.71
2,Q,628.8
2,R,536.38
2,b,582.76
2,n,526.99
2,p,158.88
2,q,644.4
2,r,521.74
3,B,568.25
3,N,516.96
3,P,155.9
3,Q,686.03
3,R,548.05
3,b,576.53
3,n,540.18
3,p,154.22
3,q,647.46
3,r,517.44
4,B,590.85
4,N,552.14
4,P,151.69
4,Q,679.27
4,R,535.16
4,b,569.04
4,n,516.46
4,p,152.19
4,q,647.05
4,r,526.29
5,B,570.62
5,N,521.92
5,P,151.95
5,Q,679.84
5,R,542.67
5,b,580.29
5,n,550.0
5,p,164.34
5,q,663.63
5,r,526.09
6,B,588.66
6,N,555.28
6,P,155.42
6,Q,681.99
6,R,538.68
6,b,561.53
6,n,518.17
6,p,158.48
6,q,666.17
6,r,522.18
7,B,559.91
7,N,521.15
7,P,146.59
7,Q,677.3
7,R,531.11
7,b,594.96
7,n,555.95
7,p,162.49
7,q,672.26
7,r,532.34
8,B,590.34
8,N,559.69
8,P,157.3
8,Q,684.46
8,R,538.77
8,b,578.98
8,n,527.29
8,p,158.51
8,q,674.18
8,r,524.61
9,B,575.82
9,N,543.55
9,P,148.06
9,Q,687.45
9,R,528.31
9,b,596.93
9,n,564.68
9,p,164.65
9,q,675.41
9,r,533.78
10,B,599.22
10,N,551.28
10,P,161.55
10,Q,694.59
10,R,536.85
10,b,572.81
10,n,521.44
10,p,156.32
10,q,684.91
10,r,522.35
11,B,574.35
11,N,535.37
11,P,144.78
11,Q,698.91
11,R,526.62
11,b,590.17
11,n,554.34
11,p,169.79
11,q,694.6
11,r,533.41
12,B,597.01
12,N,558.9
12,P,162.48
12,Q,711.13
12,R,544.18
12,b,573.43
12,n,515.84
12,p,157.62
12,q,693.75
12,r,528.3
13,B,583.43
13,N,537.3
13,P,147.77
13,Q,711.99
13,R,526.08
13,b,586.92
13,n,549.48
13,p,170.96
13,q,693.01
13,r,527.19
14,B,600.92
14,N,559.55
14,P,160.48
14,Q,705.15
14,R,537.27
14,b,573.63
14,n,508.5
14,p,163.18
14,q,695.98
14,r,521.69
15,B,576.76
15,N,529.11
15,P,144.07
15,Q,721.98
15,R,524.21
15,b,580.69
15,n,544.16
15,p,170.56
15,q,687.63
15,r,521.04
16,B,597.48
16,N,553.53
16,P,162.99
16,Q,725.76
16,R,539.12
16,b,564.26
16,n,508.48
16,p,160.54
16,q,693.52
16,r,516.65
17,B,579.67
17,N,533.67
17,P,151.02
17,Q,731.51
17,R,525.32
17,b,586.22
17,n,535.59
17,p,173.18
17,q,690.07
17,r,518.11
18,B,603.56
18,N,559.65
18,P,162.86
18,Q,733.27
18,R,529.21
18,b,567.91
18,n,499.95
18,p,159.31
18,q,705.07
18,r,518.76
19,B,584.8
19,N,534.32
19,P,153.85
19,Q,740.0
19,R,527.21
19,b,574.21
19,n,531.41
19,p,170.08
19,q,687.61
19,r,506.03
20,B,591.68
20,N,557.24
20,P,164.0
20,Q,735.52
20,R,520.4
20,b,570.82
20,n,490.85
20,p,161.2
20,q,697.35
20,r,503.51
21,B,569.23
21,N,535.0
21,P,146.75
21,Q,749.96
21,R,515.34
21,b,557.82
21,n,513.96
21,p,167.1
21,q,672.28
21,r,490.78
22,B,578.49
22,N,541.52
22,P,163.4
22,Q,736.42
22,R,518.96
22,b,560.32
22,n,488.15
22,p,156.98
22,q,696.6
22,r,501.68
23,B,566.15
23,N,511.03
23,P,147.94
23,Q,742.8
23,R,515.0
23,b,550.91
23,n,499.6
23,p,170.21
23,q,688.01
23,r,492.71
24,B,563.51
24,N,530.14
24,P,163.48
24,Q,741.78
24,R,516.88
24,b,545.41
24,n,491.91
24,p,155.73
24,q,696.51
24,r,497.92
25,B,558.17
25,N,503.05
25,P,146.33
25,Q,733.82
25,R,510.98
25,b,526.9
25,n,484.19
25,p,159.94
25,q,671.11
25,r,482.74
26,B,539.45
26,N,506.03
26,P,163.96
26,Q,721.89
26,R,493.18
26,b,535.64
26,n,476.61
26,p,152.46
26,q,683.89
26,r,495.8
27,B,538.8
27,N,490.13
27,P,140.3
27,Q,718.84
27,R,504.15
27,b,534.26
27,n,470.4
27,p,166.66
27,q,695.12
27,r,489.61
28,B,530.93
28,N,476.13
28,P,145.77
28,Q,689.37
28,R,486.83
28,b,543.42
28,n,487.06
28,p,162.81
28,q,717.65
28,r,508.63
29,B,521.92
29,N,470.3
29,P,137.23
29,Q,717.64
29,R,498.24
29,b,512.17
29,n,481.28
29,p,161.27
29,q,687.29
29,r,490.51
30,B,508.61
30,N,466.57
30,P,144.79
30,Q,707.52
30,R,485.8
30,b,515.88
30,n,478.81
30,p,154.44
30,q,688.72
30,r,498.93
31,B,479.8
31,N,453.46
31,P,125.39
31,Q,729.3
31,R,492.76
31,b,510.03
31,n,466.8
